 0.13000000E+001  0.12101525E-001
 0.12829578E+001  0.13162042E-001
 0.12668208E+001  0.15452567E-001
 0.12515405E+001  0.15859341E-001
 0.12370715E+001  0.16764898E-001
 0.12233708E+001  0.17476752E-001
 0.12103974E+001  0.18125653E-001
 0.11981128E+001  0.18677704E-001
 0.11864804E+001  0.19176485E-001
 0.11754657E+001  0.19631686E-001
 0.11650357E+001  0.20019088E-001
 0.11551595E+001  0.20348381E-001
 0.11458076E+001  0.20634092E-001
 0.11369523E+001  0.20856850E-001
 0.11285671E+001  0.21021497E-001
 0.11206272E+001  0.21152245E-001
 0.11131086E+001  0.21229725E-001
 0.11059895E+001  0.21268466E-001
 0.10992482E+001  0.21244254E-001
 0.10928648E+001  0.21176457E-001
 0.10868204E+001  0.21079607E-001
 0.10810969E+001  0.20948857E-001
 0.10756772E+001  0.20769684E-001
 0.10705452E+001  0.20580824E-001
 0.10656859E+001  0.20348381E-001
 0.10610843E+001  0.20082042E-001
 0.10567272E+001  0.19796332E-001
 0.10526013E+001  0.19505778E-001
 0.10486946E+001  0.19171642E-001
 0.10449953E+001  0.18842351E-001
 0.10414923E+001  0.18479159E-001
 0.10381753E+001  0.18111125E-001
 0.10350344E+001  0.17714037E-001
 0.10320604E+001  0.17316947E-001
 0.10292443E+001  0.16890803E-001
 0.10265776E+001  0.16484030E-001
 0.10240525E+001  0.16019145E-001
 0.10216615E+001  0.15583316E-001
 0.10193975E+001  0.15084533E-001
 0.10172535E+001  0.14532483E-001
 0.10152235E+001  0.13980432E-001
 0.10133013E+001  0.13326689E-001
 0.10114810E+001  0.12571252E-001
 0.10097575E+001  0.11888453E-001
 0.10081253E+001  0.10992581E-001
 0.10065800E+001  0.89780819E-002
 0.10051167E+001  0.41500628E-002
 0.10037309E+001 -0.28522601E-002
 0.10024189E+001 -0.11840027E-001
 0.10011765E+001 -0.23065051E-001
 0.99999994E+000 -0.16377494E-001
 0.99398243E+000 -0.64405873E-002
 0.98643476E+000  0.16028830E-002
 0.97850323E+000 -0.24212734E-003
 0.97018319E+000 -0.19854442E-002
 0.96146452E+000 -0.52299504E-002
 0.95233655E+000 -0.10387263E-001
 0.94278997E+000 -0.15118431E-001
 0.93281394E+000 -0.20498501E-001
 0.92239690E+000 -0.25234511E-001
 0.91153628E+000 -0.30876080E-001
 0.90022755E+000 -0.35902642E-001
 0.88846755E+000 -0.41771811E-001
 0.87624919E+000 -0.47258414E-001
 0.86357784E+000 -0.53389080E-001
 0.85045230E+000 -0.59321199E-001
 0.83687466E+000 -0.65737575E-001
 0.82285523E+000 -0.71974777E-001
 0.80839521E+000 -0.78676857E-001
 0.79351032E+000 -0.85223980E-001
 0.77821213E+000 -0.92173040E-001
 0.76251215E+000 -0.99117249E-001
 0.74643427E+000 -0.10637622E+000
 0.72999161E+000 -0.11369815E+000
 0.71321148E+000 -0.12117021E+000
 0.69611782E+000 -0.12868585E+000
 0.67873412E+000 -0.13624021E+000
 0.66109645E+000 -0.14406092E+000
 0.64322621E+000 -0.15206565E+000
 0.62516522E+000 -0.16158611E+000
 0.60694152E+000 -0.16745043E+000
 0.58859426E+000 -0.17730501E+000
 0.57015872E+000 -0.18904819E+000
 0.55167103E+000 -0.19351302E+000
 0.53317189E+000 -0.20181315E+000
 0.51469392E+000 -0.21042803E+000
 0.49628204E+000 -0.21884438E+000
 0.47796386E+000 -0.22754644E+000
 0.45978370E+000 -0.23607416E+000
 0.44177419E+000 -0.24450503E+000
 0.42396930E+000 -0.25310540E+000
 0.40640032E+000 -0.26123604E+000
 0.38909927E+000 -0.26941994E+000
 0.37209529E+000 -0.27718738E+000
 0.35541281E+000 -0.28487250E+000
 0.33907944E+000 -0.29201525E+000
 0.32311273E+000 -0.29912412E+000
 0.30753586E+000 -0.30548722E+000
 0.29236552E+000 -0.31181642E+000
 0.27761567E+000 -0.31717229E+000
 0.26329860E+000 -0.32245067E+000
 0.24942611E+000 -0.32666367E+000
 0.23600392E+000 -0.33075079E+000
 0.22303802E+000 -0.33340451E+000
 0.21053176E+000 -0.33579189E+000
 0.19848652E+000 -0.33465388E+000
 0.18690173E+000 -0.33158857E+000
 0.17577517E+000 -0.33008254E+000
 0.16510300E+000 -0.32804382E+000
 0.15487976E+000 -0.32647482E+000
 0.14509903E+000 -0.32374847E+000
 0.13575308E+000 -0.32190347E+000
 0.12683314E+000 -0.31970495E+000
 0.11832954E+000 -0.31964684E+000
 0.11023206E+000 -0.32124487E+000
 0.10252973E+000 -0.32385015E+000
 0.95211178E-001 -0.32821330E+000
 0.88264726E-001 -0.33315754E+000
 0.81678271E-001 -0.33912840E+000
 0.75439744E-001 -0.34631473E+000
 0.69536857E-001 -0.35432431E+000
 0.63957460E-001 -0.36231452E+000
