 0.50815239E+002  0.96120745E-001
 0.50805428E+002  0.95173828E-001
 0.50787125E+002  0.93427941E-001
 0.50762440E+002  0.91053955E-001
 0.50729912E+002  0.88196173E-001
 0.50696278E+002  0.84975958E-001
 0.50659485E+002  0.81494950E-001
 0.50619698E+002  0.77837765E-001
 0.50580166E+002  0.74074581E-001
 0.50555908E+002  0.70263036E-001
 0.50531834E+002  0.66450320E-001
 0.50509655E+002  0.62674440E-001
 0.50481205E+002  0.58965791E-001
 0.50452667E+002  0.55348251E-001
 0.50423401E+002  0.51840253E-001
 0.50381733E+002  0.48455533E-001
 0.50342426E+002  0.45204025E-001
 0.50302013E+002  0.42092431E-001
 0.50253651E+002  0.39124776E-001
 0.50194202E+002  0.36302876E-001
 0.50127934E+002  0.33626802E-001
 0.49942440E+002  0.31095119E-001
 0.49641747E+002  0.28705269E-001
 0.49153507E+002  0.26453787E-001
 0.48279583E+002  0.24336474E-001
 0.46808975E+002  0.22348650E-001
 0.45087997E+002  0.20485228E-001
 0.43045597E+002  0.18740885E-001
 0.41001888E+002  0.17110119E-001
 0.39064346E+002  0.15587378E-001
 0.37298058E+002  0.14167113E-001
 0.35702194E+002  0.12843805E-001
 0.34263882E+002  0.11612047E-001
 0.32994316E+002  0.10466568E-001
 0.31844774E+002  0.94022471E-002
 0.30884096E+002  0.84141418E-002
 0.30008352E+002  0.74975058E-002
 0.29328417E+002  0.66477973E-002
 0.28700548E+002  0.58606802E-002
 0.28243584E+002  0.51320293E-002
 0.27838068E+002  0.44579329E-002
 0.27536861E+002  0.38346883E-002
 0.27314699E+002  0.32587987E-002
 0.27110741E+002  0.27269670E-002
 0.27020788E+002  0.22360915E-002
 0.26946995E+002  0.17832604E-002
 0.26879250E+002  0.13657392E-002
 0.26878742E+002  0.98096882E-003
 0.26891352E+002  0.62655634E-003
 0.26902952E+002  0.30026244E-003
 0.26913622E+002  0.00000000E+000
