-0.00504,-0.02224,0.02356
0.03700,-0.01705,0.05970
-0.00555,-0.00424,0.05208
0.06015,0.04630,0.00990
-0.00743,-0.01706,0.02547
0.00546,0.05298,0.05725
0.01891,0.06449,0.12093
0.00332,0.04048,0.05842
0.01594,0.04301,0.10097
0.09150,0.06403,0.07465
0.07288,0.02319,0.11526
0.10133,0.02118,0.11667
0.07881,0.04944,0.16425
0.12508,0.04657,0.10688
0.13810,0.03832,0.12021
0.16294,0.08506,0.13286
0.16636,0.07722,0.13473
0.11740,0.06704,0.09514
0.12305,0.06663,0.13233
0.19540,0.06763,0.13942
0.18873,0.10697,0.15523
0.15011,0.04718,0.09774
0.17307,0.06549,0.07838
0.21874,0.04277,0.07736
0.25575,0.06893,0.03196
0.23640,0.05491,0.05346
0.25125,0.08966,0.07820
0.23907,0.00410,0.02854
0.32326,0.05660,-0.02277
0.29080,0.02877,-0.02037
0.30251,0.02577,-0.01192
0.34492,0.02976,-0.01204
0.36699,0.08048,-0.06693
0.37168,0.01507,-0.05435
0.35023,0.03726,-0.10217
0.42521,-0.00706,-0.17456
0.42986,-0.01867,-0.21351
0.46291,-0.03308,-0.19402
0.44575,0.05872,-0.24273
0.43495,0.00101,-0.18630
0.45532,0.03562,-0.26937
0.47024,-0.00365,-0.25097
0.52840,-0.00040,-0.29169
0.46646,-0.00090,-0.28205
0.52994,-0.01279,-0.33384
0.52240,-0.00112,-0.39462
0.58815,0.01988,-0.38838
0.57294,-0.02721,-0.39177
0.61316,-0.05160,-0.38346
0.62958,0.01439,-0.44039
0.55278,-0.05939,-0.36498
0.62939,-0.05609,-0.41259
0.57194,-0.01502,-0.42848
0.68040,0.01959,-0.40067
0.67700,0.01804,-0.42566
0.69287,0.00740,-0.41928
0.65592,0.00163,-0.46724
0.69884,0.00071,-0.40677
0.68654,-0.04869,-0.42856
0.71743,0.00485,-0.40229
0.70502,-0.02652,-0.40004
0.69583,-0.02601,-0.37358
0.67817,0.02547,-0.35640
0.73419,0.05028,-0.35206
0.75202,-0.00106,-0.33173
0.76406,0.06982,-0.31941
